x_star,upper_mean,upper_std,lower_mean,lower_std,Spalart-Allmaras_upper,Spalart-Allmaras_lower,Spalart-Allmaras w/ CFC_upper,Spalart-Allmaras w/ CFC_lower,RSM $\epsilon$-linear_upper,RSM $\epsilon$-linear_lower
2.851405622489959768e-01,6.722170875421120684e+00,1.059437425081510842e+00,-6.558918572888121190e+00,6.706096035427295821e-01,6.075620141319792111e+00,-6.163771048906150796e+00,8.215954934310417457e+00,-7.503131261177350630e+00,5.874937550633151595e+00,-6.009853408580863920e+00
2.891566265060240837e-01,6.763176735637718373e+00,1.039920677986798658e+00,-6.610060390414858489e+00,6.745937875353331670e-01,6.103885589952856350e+00,-6.193258241777277462e+00,8.231309863824055384e+00,-7.561645253537079725e+00,5.954334753136246050e+00,-6.075277675930220056e+00
2.931726907630521906e-01,6.799977264416181555e+00,1.025066006130006535e+00,-6.662016246117214102e+00,6.761790967353092929e-01,6.135518274377165682e+00,-6.222832054121512968e+00,8.248007442040890425e+00,-7.617247649397159037e+00,6.016406076830489447e+00,-6.145969034832968525e+00
2.971887550200802974e-01,6.828226958577548800e+00,1.017097277749520412e+00,-6.720271039010114578e+00,6.788039944700630102e-01,6.155980976962131201e+00,-6.260521169650032469e+00,8.265619359547761391e+00,-7.679964332996298104e+00,6.063080539222752030e+00,-6.220327614384011383e+00
3.012048192771084043e-01,6.858038293377130223e+00,1.008058944085106656e+00,-6.775126572381926060e+00,6.928079388761153590e-01,6.181692882465407379e+00,-6.286387116635873795e+00,8.283037533280397824e+00,-7.754904056912743648e+00,6.109384464385584579e+00,-6.284088543597158960e+00
3.052208835341365112e-01,6.892403374033719388e+00,9.990465763813495270e-01,-6.826636182318844170e+00,7.030580945023763295e-01,6.211009531637313508e+00,-6.304718696842801506e+00,8.304976181856460471e+00,-7.820491664122978470e+00,6.161224408607384184e+00,-6.354698185990752535e+00
3.092369477911646181e-01,6.936866226200465668e+00,9.880485211348341013e-01,-6.875538801752553830e+00,7.116363278769013423e-01,6.242143816622836461e+00,-6.320602030226575074e+00,8.334170477253261211e+00,-7.880106410068712819e+00,6.234284384725298445e+00,-6.425907964962373597e+00
3.132530120481927249e-01,6.981261315441891213e+00,9.821752890371856504e-01,-6.930020618537718669e+00,7.179178786833548820e-01,6.267315299837957099e+00,-6.349214583204654261e+00,8.370083761241170706e+00,-7.941608344022108135e+00,6.306384885246546723e+00,-6.499238928386394498e+00
3.172690763052208318e-01,7.020495703865438308e+00,9.810201475182093178e-01,-6.986985609053685486e+00,7.291197877167625574e-01,6.296053123604163915e+00,-6.372804893093394263e+00,8.407406217948032889e+00,-8.011369514590954921e+00,6.358027770044119009e+00,-6.576782419476708164e+00
3.212851405622489942e-01,7.054741851438035560e+00,9.860112843773527480e-01,-7.051874338389538366e+00,7.411600002108476026e-01,6.311761040182064519e+00,-6.411434848785098950e+00,8.448148112192205517e+00,-8.090672655085757725e+00,6.404316401939838421e+00,-6.653515511297760199e+00
3.253012048192771011e-01,7.096291934162780812e+00,9.868424170010011709e-01,-7.111899838171678034e+00,7.558732778494311466e-01,6.345956588191598691e+00,-6.453843511354121709e+00,8.490544777989502023e+00,-8.170474450616982409e+00,6.452374436307239947e+00,-6.711381552543931761e+00
3.293172690763052080e-01,7.128168560830416389e+00,9.913444569145820617e-01,-7.167335675558272889e+00,7.677379063469904619e-01,6.359627532518015158e+00,-6.491608198176912481e+00,8.527896737439014885e+00,-8.241186181451297443e+00,6.496981412534217348e+00,-6.769212647046608744e+00
3.333333333333333148e-01,7.156444921701553774e+00,9.947731822202734442e-01,-7.224268243880520579e+00,7.750758125611753035e-01,6.371253365692481019e+00,-6.531095909172064395e+00,8.559964134678301306e+00,-8.306210011350890099e+00,6.538117264733882550e+00,-6.835498811118608131e+00
3.373493975903614217e-01,7.183783604591753580e+00,9.997269516023958857e-01,-7.280510338533819237e+00,7.849355936655874055e-01,6.380751073832421127e+00,-6.561445041713538373e+00,8.593037451163580087e+00,-8.372432673849976581e+00,6.577562288779260413e+00,-6.907653300037943644e+00
3.413654618473895286e-01,7.209773776958441793e+00,9.982915729570844832e-01,-7.326629505618694971e+00,8.029181879467720551e-01,6.395543240229332405e+00,-6.575618488248601068e+00,8.615713640409172314e+00,-8.439700783333965006e+00,6.618064450236817997e+00,-6.964569245273518838e+00
3.453815261044176355e-01,7.238294983021426710e+00,9.974148275029121047e-01,-7.378250704234099011e+00,8.195158816774430477e-01,6.413513455451955281e+00,-6.604687216627599611e+00,8.641673174082171727e+00,-8.512433992365354030e+00,6.659698319530154897e+00,-7.017630903709343393e+00
3.493975903614457423e-01,7.263894726726126017e+00,9.983348639932279056e-01,-7.424841680972572355e+00,8.327801101143647022e-01,6.430502726733079655e+00,-6.630032583299463766e+00,8.667556826321444419e+00,-8.574903483408123250e+00,6.693624627123855753e+00,-7.069588976210130049e+00
3.534136546184738492e-01,7.292413347934296297e+00,9.988939064882901286e-01,-7.469809128957410671e+00,8.436934889549722039e-01,6.451653848689860915e+00,-6.659791532692937999e+00,8.695913717293400680e+00,-8.633521871500089873e+00,6.729672477819627296e+00,-7.116113982679202365e+00
3.574297188755019561e-01,7.316372069102196285e+00,1.001590194574857096e+00,-7.510829225243367269e+00,8.629101128046592351e-01,6.473019960389985172e+00,-6.671816898611075963e+00,8.723615113749042749e+00,-8.697775634435455316e+00,6.752481133167560046e+00,-7.162895142683571414e+00
3.614457831325300630e-01,7.334003912083495891e+00,1.004640403860635578e+00,-7.560217768722375276e+00,8.817355446622345827e-01,6.485315940467558882e+00,-6.685530757388832512e+00,8.745135644435629629e+00,-8.767222453242872859e+00,6.771560151347300049e+00,-7.227900095535421343e+00
